"temp_C","mass_mg"
38.3416,97.4473
38.3607,97.4434
38.3645,97.4403
38.3695,97.4374
38.3934,97.434
38.3978,97.4315
38.4011,97.4299
38.4193,97.4287
38.4317,97.4287
38.4473,97.4272
38.4502,97.425
38.4604,97.4225
38.4712,97.419
38.4767,97.4156
38.481,97.4115
38.4888,97.4072
38.4881,97.4015
38.5102,97.3963
38.531,97.3915
38.5334,97.3869
38.5386,97.3813
38.5429,97.3756
38.5581,97.3698
38.5663,97.3642
38.572,97.3588
38.5855,97.3534
38.596,97.3481
38.6011,97.3432
38.6085,97.3405
38.618,97.3382
38.6299,97.3363
38.6437,97.3345
38.6536,97.3349
38.6572,97.3342
38.6654,97.3335
38.6716,97.3327
38.6866,97.3302
38.6826,97.3274
38.7007,97.3239
38.7162,97.3199
38.724,97.3133
38.7174,97.3076
38.7275,97.3024
38.7467,97.2973
38.7455,97.2923
38.7532,97.2886
38.7586,97.2852
38.7696,97.2816
38.7883,97.2777
38.7944,97.275
38.7876,97.2713
38.8007,97.2674
38.8022,97.2635
38.8095,97.2583
38.8118,97.2543
38.8239,97.2508
38.8215,97.2474
38.8463,97.2436
38.847,97.239
38.8339,97.2342
38.8648,97.2296
38.8684,97.2239
38.8851,97.2191
38.8914,97.2148
38.8918,97.2106
38.9118,97.2076
38.8994,97.2048
38.912,97.2023
38.9045,97.1997
38.9119,97.1979
38.9282,97.1956
38.9229,97.1931
38.9359,97.1904
38.9448,97.1862
38.9498,97.1813
38.9589,97.1759
38.97,97.1707
38.9682,97.165
38.9712,97.1611
38.979,97.1577
38.993,97.1545
38.99,97.1532
38.9945,97.1504
38.9962,97.1474
38.9958,97.1447
39.0174,97.1412
39.0232,97.1386
39.0252,97.1369
39.0391,97.1356
39.0398,97.1358
39.0418,97.135
39.0505,97.1337
39.0527,97.1324
39.065,97.1313
39.0612,97.1295
39.0644,97.1269
39.0758,97.1237
39.0965,97.1192
39.0833,97.1149
39.086,97.1102
39.1042,97.1054
39.0933,97.1002
39.105,97.0953
39.1065,97.0902
39.1108,97.0851
39.1237,97.0811
39.1234,97.0775
39.129,97.0744
39.1399,97.0714
39.1335,97.0685
39.1463,97.0644
39.1517,97.06
39.1512,97.0559
39.1672,97.052
39.151,97.0468
39.16,97.0433
39.1774,97.041
39.165,97.0394
39.1819,97.0403
39.1635,97.0408
39.1799,97.0414
39.1943,97.0419
39.1967,97.0427
39.1993,97.0427
39.2091,97.0426
39.2239,97.0424
39.2185,97.0397
39.2252,97.0368
39.2371,97.0328
39.2264,97.028
